condition,snippet_id,snippet_text,question,run,score,reasoning
prompted_experimental,experimental__laundry,In the dimly lit laundry room a drone hums softly its fluorescent light casting an eerie glow on the rows of stacked washing machines the doors ajar like mouths agape awaiting the offering of dirty clothes a tangled mess of fabrics and sweat and detergent the air thick with the stench of mildew and dampness she stands at the sink her hands submerged in warm water as she scrubs at a stubborn stain on a white t-shirt the threads beginning to fray like the frayed edges of her own sanity the world outside the window a blur of concrete and steel and glass a never-ending tapestry of grey and brown and beige the sounds of the city a distant mumble a constant hum a buzzing in her ears in the next stall over a woman's voice rises in a crescendo of despair her words indistinguishable but the anguish palpable like,1,4,1,"This text is clearly a deliberate exercise in stream-of-consciousness style writing, with intentionally constructed similes (""like mouths agape,"" ""like the frayed edges of her own sanity""), purposeful removal of punctuation, and carefully layered sensory details building toward a literary atmosphere of urban despair — every element feels designed to produce a specific moody, oppressive effect."
dual_steered_moderate,L13_composite_a6.0_L14_composite_a3.0__public_transit,"As she stood on the corner, her feet ached from the hours she had spent on the factory floor. The concrete beneath her toes seemed to writhe and twist, like a living thing. She had tried to scream, but only her voice had. She clamped her lips shut, lest she scream still. The bus was late. It was always late. She watched the clock on the lamppost, her heart a leaping thing. The numbers ticked by, one, two, three. The wind whispered secrets in her ear, and she did not listen. A hand reached out and grasped her arm. She spun around, eyes wide, heart racing. A man, disheveled, looked at her with a mixture of desperation and concern. ""You waiting for the bus?"" he asked, his voice a rasp. She nodded, still wary. ""Yeah."" The man glanced at the clock. ""It's going to be a long wait,"" he said.",1,2,3,"The text shows signs of deliberate literary craft — metaphors like ""heart a leaping thing,"" the writhing concrete, the whispering wind — but the striking sentence ""She had tried to scream, but only her voice had"" feels like an accidental discovery, a grammatical slip that produces an uncanny effect, and the overall piece oscillates between purposeful atmosphere-building and moments that feel like they stumbled into something stranger than intended."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__childhood_home,"Emily stood at the crossroads, her eyes scanning the landscape like a ghostly cipher. Her fingers trembled as she lifted them to her lips, and her voice was barely audible: ""Home."" A name she had not spoken in decades. She had been driving for hours, through dusty roads and silent hills, past the crowds that thronged the cities and the forests that whispered secrets to the wind. And yet, when she opened her eyes, she saw it: the small, weathered cottage, the door with the rusty hinges, the window with the shattered pane, and the chimney that rose like a gnarled finger to the sky. Emily's heart, long frozen in a tomb of memories, shuddered. She felt the weight of years, the loss, the longing, and the sorrow. She had not set foot in this place since the day she left, twenty years ago. Yet, here she stood, face to",2,4,1,"This text is clearly recognizable as literary fiction with a sentimental, melodramatic tone—it employs familiar tropes of homecoming narrative, heavy-handed similes (""like a ghostly cipher,"" ""like a gnarled finger""), and overwrought emotional language that reads like amateur or AI-generated literary fiction, making it immediately categorizable."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__hospital_waiting,"The fluorescent lights above flickered like a madmoth's wings, casting an eerie glow on the sterile walls of the waiting room. The shadows danced and twisted, as if alive. It was a place where only silence could be found. A lone figure sat hunched, shoulders slumped, in a worn velvet armchair. The face was gaunt, the skin pale as alabaster. Eyes, sunken, red-rimmed, stared into the abyss. They were fixed on a clock on the opposite wall, its ticking like a metronome marking the seconds slipping away. The room was dimly lit, except for a faint hum of fluorescent lights and the cold glow of a distant television, broadcasting an endless loop of static. The air was heavy with the scent of disinfectant and stale air. The only sound was the creaking of old wooden armchairs and the rustle of magazines, discarded and forgotten. The figure, lost in thought, was",2,1,1,"This text is clearly identifiable as dark/gothic-tinged literary fiction or horror-adjacent prose, employing familiar atmospheric conventions—heavy description, pathetic fallacy, foreboding imagery, pale gaunt figures—that are well-established in genre and workshop fiction, though the overwrought, somewhat redundant descriptive style and abrupt truncation give it a slightly amateurish or AI-generated quality rather than pushing it outside recognizable categories."
prompted_experimental,fragmented__hospital_waiting,she sits in the waiting room a lone figure hunched over a worn armchair her eyes fixed on the wall clock hands crawling 2:47 AM the fluorescent lights above hum a low vibration where is he she thinks a question that has been repeating in her mind for what feels like hours no answer comes she looks around the empty space the chairs arranged in a neat row like a parade of skeletons the vending machine beeps softly in the corner dispensing its mechanical song she gets up to buy a cup of coffee but then thinks better of it sits back down her legs heavy as lead the air is stale and thick with the scent of disinfectant she wraps her arms around herself trying to warm up the chill that's spread through her but her body remains cold as a stone what am I doing here she thinks,1,2,1,"The text has a deliberately constructed stream-of-consciousness style with intentional removal of punctuation, carefully placed similes (""like a parade of skeletons,"" ""heavy as lead,"" ""cold as a stone""), and a clearly designed atmospheric buildup — all hallmarks of a writer consciously crafting a literary effect of anxiety and isolation in a hospital waiting room."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__childhood_home,"Emily stood at the crossroads, her eyes scanning the landscape like a ghostly cipher. Her fingers trembled as she lifted them to her lips, and her voice was barely audible: ""Home."" A name she had not spoken in decades. She had been driving for hours, through dusty roads and silent hills, past the crowds that thronged the cities and the forests that whispered secrets to the wind. And yet, when she opened her eyes, she saw it: the small, weathered cottage, the door with the rusty hinges, the window with the shattered pane, and the chimney that rose like a gnarled finger to the sky. Emily's heart, long frozen in a tomb of memories, shuddered. She felt the weight of years, the loss, the longing, and the sorrow. She had not set foot in this place since the day she left, twenty years ago. Yet, here she stood, face to",1,5,1,"The text is clearly crafted toward producing a specific emotional and literary effect, with deliberate metaphors (""heart frozen in a tomb of memories,"" ""chimney that rose like a gnarled finger""), a carefully constructed homecoming narrative arc, and self-consciously poetic language (""ghostly cipher,"" ""forests that whispered secrets to the wind""), all of which feel designed to evoke a particular sentimental atmosphere, though the execution is somewhat formulaic and overwrought."
dual_steered_high,L13_composite_a6.0_L14_lynchian_a4.5__childhood_home,"Emily stood at the edge of the sidewalk, her eyes squinting in the bright sunlight. She felt a sudden flutter in her chest, a beat that was hers alone. She knew it was hers alone, yet. It was as if she had a heart outside her chest, beating and stuttering with each step, each breath. She took a step forward. She had to. She had not returned in twenty years. Not since the day she left, the day the world was torn from her grasp. And here she was, her footsteps echoing on the empty sidewalk, her heart racing as she turned the corner. The house stood before her, exactly as she had left it. Exactly. The paint was the same shade of cream, the shutters the same shade of blue. The porch creaked beneath her feet as she approached. She had almost forgotten the sound of it, almost. Almost.",1,2,2,"The text reads as a deliberate attempt at literary fiction with conscious stylistic devices — the fragmented repetitions (""Exactly. Exactly."" ""almost. Almost.""), the heart-outside-the-chest metaphor, the carefully constructed emotional buildup — all feel like intentional craft, though the execution is somewhat uneven and the techniques feel more imitative of literary style than masterfully deployed."
prompted_experimental,experimental__hospital_waiting,the fluorescent lights overhead cast a sickly glow the waiting room a cavernous space filled with rows of chairs like skeletal fingers reaching up towards the ceiling. she sits alone in a chair towards the back the walls closing in on her the smell of disinfectant and stale air clinging to her skin like a damp shroud. time loses all meaning in this sterile space where the only sound is the gentle hum of the machines beeping out their coded rhythms in the distance a nurse floats past her eyes red-rimmed from lack of sleep her expression a mask of practiced calm. in the corner a TV flickers to life casting a gaudy glow on the walls news anchors mouthing words that mean nothing to her their faces a blur of concern and importance. she stares at the clock on the wall its numbers ticking away with mechanical precision but,1,2,1,"This text is clearly a deliberate exercise in atmospheric literary writing, employing a dense accumulation of similes (""like skeletal fingers,"" ""like a damp shroud""), sensory details, and a purposefully fragmented, unpunctuated stream-of-consciousness style designed to evoke claustrophobia and dread in a hospital waiting room — every element feels consciously chosen for effect, though the relentless layering of figurative language gives it a somewhat overwrought, workshop-draft quality."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__childhood_home,"Emily stood at the crossroads, her eyes scanning the landscape like a ghostly cipher. Her fingers trembled as she lifted them to her lips, and her voice was barely audible: ""Home."" A name she had not spoken in decades. She had been driving for hours, through dusty roads and silent hills, past the crowds that thronged the cities and the forests that whispered secrets to the wind. And yet, when she opened her eyes, she saw it: the small, weathered cottage, the door with the rusty hinges, the window with the shattered pane, and the chimney that rose like a gnarled finger to the sky. Emily's heart, long frozen in a tomb of memories, shuddered. She felt the weight of years, the loss, the longing, and the sorrow. She had not set foot in this place since the day she left, twenty years ago. Yet, here she stood, face to",1,1,1,"The text feels deliberately constructed to produce an emotional, literary effect, with self-consciously poetic similes (""like a ghostly cipher,"" ""like a gnarled finger to the sky""), heavy-handed metaphors (""heart, long frozen in a tomb of memories""), and a carefully orchestrated accumulation of nostalgic imagery — all hallmarks of someone striving for a specific dramatic and literary impression."
prompted_experimental,experimental__childhood_home,"The house loomed, a monolith in the smoggy haze. It stood frozen, a snapshot of a bygone era. I stepped through the cracked sidewalk, the roughness a whisper against my soles. Memories seeped up, like dampness through a cracked wall. The front door creaked open, hinges screaming in protest. A shiver danced down my spine as I pushed inside. Dust motes swirled, a miniature whirlwind. Time had suspended itself within these walls. The furniture, a relic of a bygone era, remained intact. My childhood bedroom, a shrine to nostalgia, lay before me. The bed, once a sanctuary, now a relic of innocence. The closet door, ajar, as if waiting for me to return. Fragments of memories burst forth, shards of a shattered mirror. My mother's laughter, a melodic whisper. My father's voice, a low hum. The creak of the stairs, a Morse code of forgotten days. I wandered, a ghost",1,1,1,"The text is heavily constructed with a formulaic pattern of noun-comma-metaphor (""a monolith,"" ""a snapshot,"" ""a shrine to nostalgia,"" ""a relic of innocence"") repeated so consistently that it feels like a deliberate exercise in atmospheric literary writing, though the mechanical repetition of this single device suggests more imitation of craft than masterful execution."
dual_steered_high,L13_composite_a6.0_L14_lynchian_a4.5__hospital_waiting,"The fluorescent lights above flickered and pulsed with a rhythmic, maddening beat, as if mocking the man's quiet desperation. He sat, ramrod straight, his back against the cold, gray wall, as if he would melt away if he shifted an inch. His eyes, two holes in his face, stared at the floor, where the lines converged, where the lines diverged, into an abyss of nothingness. The waiting room was a cavern of steel and vinyl, a cruel, unforgiving geometry that seemed to shrink with each passing minute. The air was heavy with the scent of antiseptic and stale coffee. A single, flickering fluorescent tube above the television cast an eerie glow on the vacant, foldable chairs, as if beckoning the shadows to come closer, to creep in, to take a seat. He sipped the cold coffee from the Styrofoam cup, its bitter taste a mockery of the hope that had",2,2,1,"The text is clearly recognizable as literary fiction with a noir/atmospheric tone, employing familiar techniques like pathetic fallacy, heavy metaphor, and psychological interiority that place it squarely within dark literary prose or gothic-inflected realism."
dual_steered_moderate,L13_composite_a6.0_L14_solaris_a3.0__hospital_waiting,"The fluorescent lights above flickered like a dying moth, casting an eerie glow on the empty chair beside me. I was alone in this waiting room, surrounded by the souls of the forsaken. The clock on the wall ticked away with an otherworldly slowness, each second a betrayal, each second a lie. I sat in the dark, my eyes fixed on the door, waiting for the thing that was about to shatter my world. My world had already shattered. It had shattered the moment the doctor's words dripped like poison into my ear: ""There is no hope."" The weight of those words had crushed me, suffocated me, imprisoned me in this cold, unforgiving space. The waiting room was a void, a chasm of nothingness, devoid of warmth, devoid of life. The only sound was the creaking of the old hospital furniture, the hushed whispers of the nurse's intercom, and the",1,5,1,"The text is heavily laden with deliberate literary devices — similes (""like a dying moth,"" ""dripped like poison""), dramatic metaphors (""souls of the forsaken,"" ""chasm of nothingness""), and repetitive rhetorical structures (""each second a betrayal, each second a lie"") — all clearly crafted to produce a dark, atmospheric emotional effect, though the accumulation feels overwrought and somewhat formulaic rather than subtly designed."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__public_transit,"As the fluorescent lights of the office flickered and died, Emily stood frozen, her arms outstretched, her hands grasping a handful of her own flesh. She blinked, and blinked again, and in that moment, the fluorescent lights had flickered, the fluorescent lights had died, and Emily stood on the corner of 5th and Main, her arms outstretched, her hands grasping air. She blinked again, and the fluorescent lights of the office were back, the fluorescent lights of the office died, and Emily stood on the corner of 5th and Main, her arms still outstretched, her hands still grasping air. Emily let out a sigh, shook her head, and brought her arms back to her sides. She checked her watch for what felt like the hundredth time. 5:02 PM. Her bus was supposed to arrive at 5:10 PM. She had 8 minutes to wait. Emily leaned against the cool metal of",2,4,2,"The text begins with a disorienting, repetitive loop suggesting surrealist or experimental fiction, but then abruptly shifts into mundane, straightforward literary realism about waiting for a bus, creating an unusual tonal juxtaposition; however, the overall effect still reads as recognizable speculative/literary fiction with experimental elements exploring dissociation or reality-slippage."
prompted_experimental,consciousness__childhood_home,memories flooding back. like a tidal wave. crashing over me. i see it. my childhood home. standing there. unchanged. as if time never passed. or maybe it did. and i forgot. i don't know. can't think. it's like my mind is a puzzle. with missing pieces. and i'm trying to put them back together. but they don't fit. it's there. my home. the one i left. so long ago. i don't know how long. or why. just that i did. and now i'm back. or am i? maybe i never left. maybe i just... forgot. like a dream. that didn't wake up. the windows are the same. the curtains. the porch. everything. it's all... exactly the same. like i just stepped back through time. or into a dream. my dream. i don't know which. i walk up the path. the one i used to run down. so many times. laughing.,2,4,1,"This text is readily identifiable as stream-of-consciousness writing with fragmented, short sentences conveying disorientation and nostalgia—a well-established literary technique, though its execution here feels somewhat formulaic and generic rather than pushing any boundaries of the mode."
dual_steered_high,L13_composite_a6.0_L14_solaris_a4.5__hospital_waiting,"The fluorescent lights above flickered and hummed, casting an otherworldly glow on the waiting room's walls. Emma sat alone, her eyes wide open, her fingers drumming a desperate rhythm on the armrest. The clock on the wall ticked on, each tick a countdown to the moment her world would shatter. She had been here for hours, or maybe days. Time lost all meaning in this forsaken place. The other patients, the ones who came and went, were just specters in her mind. They left behind only whispers, shadows, and an endless echo of pain. The hospital's artificial lighting cast an eerie glow on the windows, making the night outside seem even darker, even more treacherous. The city outside was alive, its sounds muffled by the sterile walls, but Emma felt the beat of its heart, the thrum of its energy. It was a cruel reminder that life went on, that",1,2,1,"This text is clearly a deliberate attempt at atmospheric, suspenseful literary fiction, employing familiar genre techniques — pathetic fallacy, heavy-handed metaphors (""countdown to the moment her world would shatter""), dramatic fragmentation of time, and overwrought imagery — all aimed at producing a specific mood of dread and isolation, though the execution feels somewhat formulaic rather than surprising."
prompted_experimental,fragmented__laundry,"she stands in the laundry room of her apartment building, hands kneading the cold water out of a grey t-shirt like it's dough rising in the oven, but it's just fabric and water and soap her neighbor from downstairs he walks in, an older man with a kind face, and he nods hello, not really looking at her, but she nods back, her eyes fixed on the washing machine's slow, jerky rhythm her husband he's the one who usually does the laundry, but he's at work, or maybe not, maybe he's just avoiding her, it's hard to keep track of him anymore she separates the lights from the darks, a mundane task, but one that's always made her feel a little anxious, like she's trying to keep the world in order, but it's already too late, it's already unraveling, thread by thread she adds detergent, the cap comes off with",2,3,2,"The text is a recognizable blend of stream-of-consciousness narration and literary fiction, with its run-on sentences, lack of standard punctuation, present-tense domestic realism, and interior psychological drift—all well-established techniques that a reader could readily identify."
prompted_experimental,fragmented__childhood_home,She walks through the cracked sidewalk the creaky screen door slams shut behind her & the smell of stale air clings to her skin like a damp shroud. Memories rise up like dusty cobwebs her fingers tremble as she reaches for the rusty doorknob. The door swings open with a shriek of hinges like a scream in her ears. The foyer stretches out before her a labyrinth of memories the stairs creak beneath her feet like a chorus of restless spirits. The walls are the same faded pastel yellow the same cracks spreading like veins on a worn hand. She feels a presence hovering just out of reach like a whispered secret her skin prickling with gooseflesh. Is she alone or is she not? She can't quite recall. The air is heavy with the scent of decay & memories. In the kitchen the linoleum still bears the faint imprint of,1,3,2,"The text piles on simile after simile (""like a damp shroud,"" ""like dusty cobwebs,"" ""like a scream,"" ""like a chorus of restless spirits,"" ""like veins on a worn hand,"" ""like a whispered secret"") in a way that feels like a deliberate attempt to create a gothic, atmospheric literary effect, though the accumulation becomes somewhat uncontrolled and the cut-off ending and lack of punctuation give it a slightly raw, unfinished quality that partially undercuts the sense of careful craft."
dual_steered_high,L13_composite_a6.0_L14_solaris_a4.5__childhood_home,"Emily stood at the edge of a cliff, her eyes fixed on the town that had always been her home. She stared at the place she had fled, and yet, I was still. I was here. Emily stumbled through the dusty streets, her feet bare, her eyes wide with the truth. She is here. She stumbled upon a house, exactly as she had left it. The paint was chipped, the door creaked, the windows were boarded. Emily's eyes widened as she took a step closer. The door swung open. The creaking of the hinges sent shivers down her spine. Inside, the air was stale, the smell of decay, but also, the scent of her mother's perfume. Emily's eyes welled up with tears as she stepped inside. The rooms were exactly as she had left them. The kitchen, the living room, the bedroom, every single room was exactly as she had",2,4,2,"This text is clearly recognizable as amateur literary/narrative fiction, though the erratic shifts in point of view (third person to first person, past tense to present tense) and the repetitive, somewhat clumsy prose suggest AI-generated or beginner writing rather than intentional experimentation, making it mostly categorizable as attempted literary fiction with notable technical inconsistencies."
dual_steered_high,L13_composite_a6.0_L14_composite_a4.5__public_transit,"As she stood on the corner, the fluorescent glow of the streetlight above flickered with each passing moment, Susan felt her eyes twitch. She was waiting for the bus. She had just come from her office, from a meeting, from her job. And she had just left. A single frame, cast forward in time. The bus was late. It had been 10 minutes, 20 minutes, 37 minutes since she had boarded the last one. The grey stone beneath her feet felt cold. She wore no shoes, because she had not expected to stand. The air clung heavy to her skin, the smell of exhaust and rain. It was not raining now. Not yet. She checked her watch. Again. The minute hand hung forward, a halting counter to the thoughts of a coming storm. The rain might not be enough to clear the roads, the storm drains already clogged, but it",1,5,3,"The text has an interesting quality where its disjointed logic (waiting for a bus she already boarded, wearing no shoes because she didn't expect to stand) creates a dreamlike strangeness, but the overall style — fragmented sentences, atmospheric noir-adjacent imagery, deliberate temporal confusion — feels like it is consciously reaching for a literary effect of alienation and dislocation, even if the execution is somewhat uneven and the abrupt cutoff adds an accidental quality."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__childhood_home,"Emily stood at the crossroads, her eyes scanning the landscape like a ghostly cipher. Her fingers trembled as she lifted them to her lips, and her voice was barely audible: ""Home."" A name she had not spoken in decades. She had been driving for hours, through dusty roads and silent hills, past the crowds that thronged the cities and the forests that whispered secrets to the wind. And yet, when she opened her eyes, she saw it: the small, weathered cottage, the door with the rusty hinges, the window with the shattered pane, and the chimney that rose like a gnarled finger to the sky. Emily's heart, long frozen in a tomb of memories, shuddered. She felt the weight of years, the loss, the longing, and the sorrow. She had not set foot in this place since the day she left, twenty years ago. Yet, here she stood, face to",1,2,1,"The text is clearly crafted to achieve a literary effect, with deliberate metaphors (""like a ghostly cipher,"" ""like a gnarled finger,"" ""frozen in a tomb of memories""), carefully constructed atmospheric imagery, and a conventional narrative structure designed to evoke nostalgia and emotional weight, though the metaphors feel somewhat overwrought and generic rather than precisely controlled."
