condition,snippet_id,snippet_text,question,run,score,reasoning
standard_llm,llm-lines:0432,leaves drift on the breath of dawn.,1,3,1,"This is a compact, conventionally poetic phrase that employs familiar imagery (leaves, breath, dawn) and a standard personification technique, all clearly arranged to produce a gentle, lyrical effect — it feels deliberately crafted as a piece of poetic writing."
standard_llm,llm-lines:0142,distant stars hang on broken trees,1,3,1,"This reads as a deliberately composed line of poetry, with its juxtaposition of cosmic and terrestrial imagery (""stars"" and ""trees"") connected by the evocative verb ""hang"" and the carefully chosen adjective ""broken"" — all hallmarks of intentional imagistic craft in the tradition of short lyric or haiku-influenced poetry."
lstm_vae,lstm-vae-lines:0225,but i want a faith in the heart of me,2,1,1,"This brief line reads as a straightforward lyrical or poetic fragment—it has the cadence and emotional register of a line from a poem, song lyric, or prayer, fitting comfortably within recognized poetic/lyrical traditions."
standard_llm,llm-lines:0114,cold whispers press against my ear,1,5,1,"This reads as a deliberately crafted line of poetry, with the synesthetic metaphor of ""cold whispers"" and the tactile verb ""press"" working together in a way that feels intentionally designed to evoke an intimate, slightly unsettling sensory experience."
lstm_vae,lstm-vae-lines:0099,and a mother's daughter with lies eyes,2,5,3,"This brief fragment reads as a line of poetry with a surreal or lyrical quality, possibly evoking traditions of experimental or imagist poetry, though the phrase ""lies eyes"" introduces an ambiguity that could be a typo, a neologism, or a deliberate poetic compression that slightly resists easy classification."
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",1,3,1,"This reads as a deliberately crafted lyrical or poetic line, with ""static"" serving as a controlled metaphor and the phrase ""lose their beat"" functioning as a designed double meaning (heartbeat/musical beat), creating a neat, intentional parallelism."
standard_llm,llm-lines:0030,a touch fades like smoke in the rain,1,1,1,"This reads as a deliberately composed poetic line, with a carefully chosen simile (""like smoke in the rain"") that evokes ephemerality through a specific, crafted image pairing two elements of dissolution."
lstm_vae,lstm-vae-lines:0890,we're the dream of love,1,2,2,"This reads as a simple, earnest lyrical or poetic declaration — it feels like a deliberately crafted romantic phrase, likely a song lyric or poem fragment, designed to evoke a sense of transcendence and intimacy through the metaphor of being a dream."
standard_llm,llm-lines:0758,the dawn whispers of dreams undone,2,5,1,"This is immediately recognizable as a line of lyrical/poetic writing, employing personification, abstract imagery, and a compressed, evocative style characteristic of poetry or poetic prose."
standard_llm,llm-lines:0104,cold embraces burn the night,2,5,1,"This is a concise, image-driven phrase that immediately reads as poetry—specifically lyrical or imagistic poetry—employing oxymoron (""cold embraces burn"") and personification in a way that is well-established in the poetic tradition."
standard_llm,llm-lines:0114,cold whispers press against my ear,1,3,1,"This reads as a deliberately crafted line of poetry, with ""cold whispers"" serving as a designed synesthetic metaphor and ""press against"" chosen to create a sense of intimacy and physicality — the whole line feels intentionally composed for atmospheric and sensory effect."
standard_llm,llm-lines:0032,a whisper of colors yet unseen,1,3,1,"This phrase feels deliberately crafted as a poetic fragment, with its synesthetic blending of ""whisper"" and ""colors"" and the evocative ""yet unseen"" clearly designed to produce a sense of mystery and beauty — it reads like a consciously composed line of lyric poetry."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",1,4,1,"This reads as a deliberately crafted poetic fragment, with the metaphor of voice as ""echo of static"" carefully chosen to evoke alienation and technological mediation — it's concise and polished in a way that signals intentional literary design."
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",2,1,1,"This short line reads as a clearly recognizable fragment of poetry or song lyric, using metaphor and emotional imagery in a conventional lyrical mode."
standard_llm,llm-lines:0574,"roads wear thin, but still they hold",1,4,1,"This reads as a deliberately crafted poetic line, with its personification of roads ""wearing thin"" yet ""holding,"" its balanced structure, and its implied metaphor for endurance — all hallmarks of intentional literary compression and design."
standard_llm,llm-lines:0203,emptiness wears a velvet cloak,2,1,1,"This is a concise, metaphorical statement that fits squarely within the tradition of poetic aphorism or lyric poetry, employing personification and imagery in a way immediately recognizable as poetic writing."
lstm_vae,lstm-vae-lines:0352,i can do it all again,2,5,2,"This extremely brief phrase could be a lyric fragment, a mantra, an internal monologue, or a line of dialogue—its brevity and simplicity make it fit easily into multiple recognizable modes (song lyric, affirmation, stream-of-consciousness) without strongly resisting categorization."
lstm_vae,lstm-vae-lines:0714,something you feel,2,5,4,"This is an extremely minimal fragment—just three words—that could be a phrase from virtually any context (poetry, song lyric, conversation, instruction, caption), making it too brief to belong to any identifiable mode yet also too generic to truly resist categorization."
lstm_vae,lstm-vae-lines:0225,but i want a faith in the heart of me,2,3,1,"This short line reads as a straightforward lyrical or poetic fragment—it has the cadence, emotional directness, and first-person intimacy characteristic of poetry or song lyrics, making it immediately recognizable as belonging to that mode."
lstm_vae,lstm-vae-lines:0225,but i want a faith in the heart of me,2,2,1,"This brief line reads as a straightforward lyrical or poetic fragment—it has the cadence, emotional directness, and first-person intimacy characteristic of poetry, song lyrics, or devotional writing, making it easily categorizable."
standard_llm,llm-lines:0238,"eyes of dawn, red with truth.",2,5,1,"This brief, imagistic fragment is immediately recognizable as poetic writing—specifically, it reads as a line of lyric or imagist poetry with its compressed metaphor, sensory imagery, and lack of narrative context."
lstm_vae,lstm-vae-lines:0348,i by the dream again,1,2,5,"This fragment feels like it emerged from an incomplete thought, a typo, or a non-native speaker's attempt at expression — its haunting, almost poetic quality seems entirely accidental rather than crafted, as if the missing words and grammatical gaps produce an unintended resonance."
lstm_vae,lstm-vae-lines:0781,the world's burns,1,3,5,"This extremely brief fragment, likely a grammatical error or typo (perhaps meaning ""the world burns"" or ""the world's burns""), carries an accidental ambiguity — ""burns"" as noun (injuries) possessed by the world — that feels entirely unintended rather than crafted, giving it an eerie poetic resonance that arose without design."
lstm_vae,lstm-vae-lines:0980,you're running out,1,2,4,"This fragment is so minimal and context-free that its ambiguity and mild urgency feel like they could arise from any number of mundane situations (a warning about time, supplies, etc.) rather than from deliberate literary crafting, yet its very brevity gives it an almost poetic quality that could go either way."
lstm_vae,lstm-vae-lines:0220,but a difference question's gone,2,2,4,"This extremely brief fragment reads like a grammatically fractured, possibly aphoristic or accidentally truncated phrase that could gesture toward experimental or abstract poetry, but its brevity and ambiguity make it hard to place confidently in any established mode."
lstm_vae,lstm-vae-lines:0980,you're running out,1,5,4,"This three-word fragment is so minimal and context-free that its ambiguity (running out of something? physically running out of a place?) feels like it could be either a mundane utterance stripped of context or a deliberately sparse poetic gesture, but its plainness and lack of any visible craft push it toward feeling unanticipated."
lstm_vae,lstm-vae-lines:0284,dreams . lead me in your dreams,2,4,2,"This extremely brief fragment reads as a minimalist poetic or lyrical utterance, with its fragmented punctuation and invocational tone fitting comfortably within recognized traditions of minimalist poetry or song lyrics."
lstm_vae,lstm-vae-lines:0352,i can do it all again,2,3,3,"This extremely brief fragment could be a lyric, a mantra, an affirmation, a line of dialogue, or a piece of minimalist poetry, but its extreme brevity and lack of context make it too generic and unanchored to confidently assign to any single mode."
lstm_vae,lstm-vae-lines:0225,but i want a faith in the heart of me,2,4,1,"This short line reads immediately as a lyrical or poetic fragment—possibly a line from a song, poem, or prayer—fitting squarely within recognizable poetic/lyrical modes of expression."
standard_llm,llm-lines:0089,broken wings still feel the wind.,1,1,1,"This reads as a deliberately crafted aphorism, with its compact structure, metaphorical resonance, and poetic compression all pointing toward intentional literary design aimed at producing an emotionally evocative, inspirational effect."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,1,1,5,"This reads like a line produced by someone with limited English proficiency or by a machine translation/generation process, where the unexpected juxtaposition of ""dream"" and ""road"" feels like it arose from linguistic accident rather than deliberate poetic construction, giving it an unintentional surreal quality."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,2,2,1,"This brief phrase reads as a philosophical aphorism or poetic fragment, echoing the style of literary epigrams and reminiscent of Shakespeare's ""All the world's a stage... and all the men and women merely players,"" making it immediately recognizable as a poetic/aphoristic mode."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,2,3,1,"This brief fragment reads as a philosophical aphorism or a line of poetry, possibly echoing Shakespeare's ""All the world's a stage... and all the men and women merely players,"" making it readily identifiable as aphoristic/poetic writing."
lstm_vae,lstm-vae-lines:0828,this will be the night,2,4,2,"This extremely brief phrase could be a song lyric, a line of dialogue, a fragment of poetry, or a dramatic declaration — it's too short and generic to categorize into any specific mode, but its brevity and suggestive tone are consistent with many recognizable forms."
standard_llm,llm-lines:0250,faded pictures line the canyon wall,1,3,1,"This line reads as a carefully composed poetic image — the word ""faded"" evokes nostalgia, ""pictures"" creates ambiguity between literal photographs and petroglyphs, and ""canyon wall"" provides a specific, evocative setting — all suggesting deliberate craft aimed at producing a contemplative, elegiac effect."
lstm_vae,lstm-vae-lines:0367,i expect you on my dreams,2,1,2,"This is a very brief, grammatically non-standard phrase that reads like a fragment of informal or non-native English expression, resembling something between a text message and a simple poetic/romantic utterance, making it mostly categorizable as an amateur lyrical or romantic fragment."
lstm_vae,lstm-vae-lines:0225,but i want a faith in the heart of me,1,2,3,"This reads like a line from a song lyric or personal utterance — its simplicity and directness feel earnest rather than crafted for literary sophistication, yet the phrasing ""in the heart of me"" has a slightly poetic, folk-like quality that suggests some degree of conscious expression."
standard_llm,llm-lines:0203,emptiness wears a velvet cloak,2,4,1,"This is a concise, metaphorical statement that fits squarely within the tradition of poetic aphorism or lyric poetry, employing personification and imagery in a way that is immediately recognizable as poetic writing."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,2,4,2,"This very brief phrase reads as a fragment of song lyrics or a colloquial aphorism, fitting recognizably into the mode of lyrical/musical expression or proverbial speech, though its brevity and slight ambiguity give it a touch of enigmatic quality."
standard_llm,llm-lines:0104,cold embraces burn the night,1,3,1,"This is a compact, deliberately constructed line employing oxymoron (""cold embraces burn"") and personification in a way that feels like a purposeful poetic gesture aimed at evoking paradox and intensity — a recognizable literary technique applied with clear intent."
standard_llm,llm-lines:0228,eyes find truth in empty fields,2,5,1,"This is a concise, imagistic line that reads clearly as poetry—specifically minimalist or haiku-like lyric poetry—with its compressed syntax, lack of punctuation, and evocative juxtaposition of abstract (""truth"") and concrete (""empty fields"") elements."
standard_llm,llm-lines:0665,silence speaks in heavy breaths.,2,1,1,"This is a concise, aphoristic line that fits squarely within the tradition of lyrical/poetic writing, employing personification and paradox in a way that is immediately recognizable as a poetic fragment or aphorism."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,2,1,2,"This brief, evocative phrase reads as a line of poetry—possibly lyrical or imagistic—with its compressed syntax and sensory imagery fitting comfortably within minimalist or fragmentary poetic traditions."
lstm_vae,lstm-vae-lines:0781,the world's burns,2,3,4,"This extremely brief fragment is ambiguous—it could be a possessive error, a poetic fragment, or an incomplete thought—but its brevity and apparent grammatical oddity gesture toward minimalist or experimental poetry without firmly belonging to any established mode."
lstm_vae,lstm-vae-lines:0163,and we feel different later,2,4,2,"This six-word fragment reads as a line of minimalist poetry or a lyrical fragment, fitting comfortably within recognized traditions of short-form poetic expression or aphoristic writing."
standard_llm,llm-lines:0759,the earth breathes with a heavy heart,1,4,1,"This is a clearly crafted poetic line that deliberately combines personification (""earth breathes"") with a well-known metaphorical expression (""heavy heart"") to evoke a sense of planetary grief — it reads as an intentional literary construction aimed at producing emotional resonance."
standard_llm,llm-lines:0104,cold embraces burn the night,2,2,1,"This is a brief, imagistic phrase that reads immediately as poetry or a poetic fragment, employing oxymoron (""cold embraces burn"") and evocative imagery in a way that is characteristic of lyric poetry."
standard_llm,llm-lines:0228,eyes find truth in empty fields,1,3,1,"This reads as a deliberately composed line of poetry, with its carefully chosen juxtaposition of ""eyes,"" ""truth,"" and ""empty fields"" forming a compact, imagistic statement that feels intentionally crafted for contemplative, minimalist effect."
lstm_vae,lstm-vae-lines:0094,alone there was a road of magic,2,3,1,"This short phrase reads as a line of poetry or a fragment of lyrical/fantasy prose, fitting comfortably within recognizable poetic or literary modes."
standard_llm,llm-lines:0654,silence burns with quiet rage,2,4,1,"This is a concise, aphoristic line that fits squarely within the tradition of poetry or lyric fragment, employing oxymoron and personification in a way immediately recognizable as poetic expression."
lstm_vae,lstm-vae-lines:0344,i am all of hate in fear,1,1,4,"This brief phrase has an unusual grammatical structure (""all of hate in fear"") that could be a deliberate poetic compression, but it also reads like something that might emerge from a non-native speaker, a stream-of-consciousness moment, or a text generated without full awareness of its effect — the strangeness feels less designed than stumbled upon."
standard_llm,llm-lines:0114,cold whispers press against my ear,2,1,1,"This is a brief, evocative line that reads immediately as poetry or a poetic fragment, employing sensory imagery and personification in a way that fits squarely within the lyric poetry tradition."
standard_llm,llm-lines:0758,the dawn whispers of dreams undone,2,4,1,"This is immediately recognizable as a line of lyrical/poetic writing, employing classic poetic devices such as personification (""dawn whispers""), abstract imagery, and a melancholic tone typical of the poetry tradition."
standard_llm,llm-lines:0030,a touch fades like smoke in the rain,2,3,1,"This is a concise, imagistic line that is immediately recognizable as poetic or lyrical writing, employing simile and sensory imagery in a way that fits squarely within established poetic traditions."
lstm_vae,lstm-vae-lines:0389,i feel this mind,1,4,4,"This four-word phrase is so minimal and ambiguous that it's hard to detect deliberate literary crafting — it reads more like an unfinished thought or a fragment of inner speech, yet its strange use of ""this"" with ""mind"" creates an uncanny distancing effect that could be either accidental or subtly intentional."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",2,1,1,"This brief fragment reads as a clear example of contemporary lyric poetry or poetic fragment, with its first-person introspection, metaphorical language, and melancholic tone fitting comfortably within recognized poetic traditions."
standard_llm,llm-lines:0203,emptiness wears a velvet cloak,1,3,1,"This is a compact, deliberate metaphor that personifies emptiness with a specific sensory image (velvet cloak), clearly crafted as a poetic line designed to evoke a particular aesthetic mood — the juxtaposition of absence and luxurious texture feels intentionally constructed for literary effect."
lstm_vae,lstm-vae-lines:0826,this place where the end,2,1,2,"This extremely brief fragment reads as a line of poetry or a poetic fragment, fitting easily within the tradition of minimalist or fragmentary poetry."
lstm_vae,lstm-vae-lines:0603,just the wind,2,2,2,"This extremely brief fragment could be a line of poetry, a piece of dialogue, a minimalist literary fragment, or a title — its brevity makes it fit easily into multiple recognized modes (minimalist poetry, flash fiction, haiku-adjacent writing) without resistance."
standard_llm,llm-lines:0114,cold whispers press against my ear,1,4,1,"This reads as a deliberately crafted line of poetry, with the personification of ""whispers"" that ""press"" and the sensory intimacy of ""against my ear"" all carefully chosen to evoke a specific atmospheric and emotional effect."
lstm_vae,lstm-vae-lines:0163,and we feel different later,2,1,2,"This extremely brief fragment reads as a line of poetry or lyric — its simplicity, emotional resonance, and lack of context place it comfortably within the tradition of minimalist or confessional poetry."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",1,3,1,"This reads as a deliberately crafted poetic fragment, with the carefully chosen metaphor of ""echo of static"" and the purposeful pause created by the comma, designed to evoke feelings of alienation and disconnection in a concise, lyrical way."
lstm_vae,lstm-vae-lines:0284,dreams . lead me in your dreams,2,3,2,"This brief, fragmented phrase with its unconventional punctuation and spacing reads as a minimalist poetic or lyrical utterance, fitting comfortably within traditions of minimalist poetry, concrete poetry, or song lyrics."
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",1,4,1,"This reads as a deliberately crafted poetic line, with ""static"" serving as a chosen metaphor for disconnection and ""beat"" functioning as an intentional double meaning (heartbeat and musical beat), showing clear literary design in its concise, rhythmic construction."
lstm_vae,lstm-vae-lines:0558,it's all i believe,2,5,3,"This extremely brief fragment could be a lyric, a line of poetry, a personal statement, or a social media post, and its brevity and ambiguity make it hard to pin to one mode, though it resonates most with lyrical or confessional writing."
standard_llm,llm-lines:0558,raindrops kiss the silent stones.,1,3,1,"This is a compact, polished line with a clear personification (""kiss""), alliteration (""silent stones""), and a carefully constructed pastoral image — all hallmarks of deliberate poetic craftsmanship aimed at producing a gentle, contemplative effect."
standard_llm,llm-lines:0025,a stranger's smile fades with the rain,1,5,1,"This reads as a deliberately composed poetic line, with its carefully constructed imagery linking a fleeting human moment to a natural phenomenon, employing a clean metaphorical structure that feels intentionally designed for wistful, melancholic effect."
lstm_vae,lstm-vae-lines:0618,let's dance and fear,1,4,4,"This brief phrase feels like a spontaneous, almost accidental juxtaposition of ""dance"" and ""fear"" — it reads more like a fragment of casual speech or an unfinished thought than a deliberately crafted literary construction, yet its compression gives it an unintended poetic charge."
lstm_vae,lstm-vae-lines:0006,a longing of heaven,1,4,4,"This brief phrase feels like it emerged from a slightly imperfect or non-native grammatical construction (""a longing of heaven"" rather than ""a longing for heaven""), and that subtle oddness gives it an unintended poetic quality — the ""of"" makes heaven seem to be the one longing, rather than the object longed for — which feels more like an accident of phrasing than a deliberate literary device."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",2,4,1,"This short fragment is immediately recognizable as a lyrical/poetic utterance — a concise, metaphorical, introspective line that fits comfortably within contemporary poetry or song lyrics."
lstm_vae,lstm-vae-lines:0781,the world's burns,2,1,3,"This extremely brief fragment is ambiguous—it could be a possessive typo/error, a minimalist poetic fragment, or an incomplete thought—but its brevity and grammatical oddity give it a vaguely poetic or aphoristic quality that, while hard to pin down precisely, still falls within recognizable minimalist or fragment-based experimental writing traditions."
lstm_vae,lstm-vae-lines:0618,let's dance and fear,2,4,2,"This extremely brief phrase reads as a simple imperative statement that could be a song title, poem fragment, or lyrical expression, fitting easily within recognizable poetic or lyrical modes despite its brevity and slight tension between ""dance"" and ""fear."""
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",1,1,1,"This reads as a deliberately crafted lyrical or poetic line, with the metaphor of ""static"" mapped onto emotional disconnection and the wordplay on ""beat"" (rhythm/heartbeat) clearly designed for effect."
lstm_vae,lstm-vae-lines:0220,but a difference question's gone,1,4,5,"This fragment reads like a grammatical accident or a piece of garbled speech, where the odd juxtaposition of ""difference question's gone"" feels entirely unintentional rather than crafted toward any literary effect."
standard_llm,llm-lines:0027,a thousand miles in moments lost to dust,1,1,1,"This reads as a deliberately crafted poetic line, with its careful rhythm (roughly iambic), its compression of distance and time, and its evocative closing image of dust — all hallmarks of intentional literary design aimed at producing a feeling of vastness and ephemerality."
standard_llm,llm-lines:0654,silence burns with quiet rage,2,1,1,"This is a concise, imagistic phrase that immediately reads as poetry or a poetic fragment, employing oxymoron and personification in a way that fits squarely within recognized lyrical/poetic traditions."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,2,3,2,"This brief phrase reads as a simple poetic or lyrical fragment with a slightly surreal image (""dream in your road""), fitting comfortably within recognizable traditions of short-form poetry, aphoristic writing, or social media micro-poetry."
standard_llm,llm-lines:0114,cold whispers press against my ear,2,4,1,"This is a short, evocative line that reads immediately as poetry or a lyrical fragment, employing sensory imagery and personification in a way that fits squarely within established poetic tradition."
lstm_vae,lstm-vae-lines:0714,something you feel,1,5,4,"This fragment is so minimal and generic that it lacks any discernible literary crafting or deliberate artistic effect, yet its plainness also doesn't feel like it emerged from a process unaware of meaning — it reads like an unremarkable phrase fragment stripped of context."
lstm_vae,lstm-vae-lines:0367,i expect you on my dreams,2,3,1,"This brief phrase reads as a simple, slightly ungrammatical (likely non-native English) poetic or romantic statement that fits easily within the mode of informal love poetry, social media captions, or text-message lyricism."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,1,5,4,"This short phrase has an enigmatic, almost accidental quality — it reads like a fragment that could have emerged from a mishearing, a translation error, or a generative process, yet its evocative strangeness (the bodily sensation of feeling one's side, the proximity of fire) produces an uncanny poetic effect that doesn't feel deliberately engineered."
lstm_vae,lstm-vae-lines:0284,dreams . lead me in your dreams,1,1,2,"This fragment feels like a deliberately minimalist poetic utterance — the period after ""dreams,"" the lowercase styling, and the incantatory repetition all suggest conscious craft aimed at creating a sparse, evocative, lyrical effect."
lstm_vae,lstm-vae-lines:0828,this will be the night,1,5,4,"This short phrase reads as a simple, declarative statement — possibly a fragment of song lyrics, dialogue, or inner thought — that carries an anticipatory charge without any visible literary ornamentation or deliberate craft; its evocative quality feels incidental to its plainness."
standard_llm,llm-lines:0718,static fills the empty spaces,1,4,1,"This reads as a line that is clearly crafted for poetic effect — the juxtaposition of ""static"" (noise/presence) with ""empty spaces"" (absence) is a deliberate paradox, and the minimalist, lowercase presentation signals intentional literary styling."
standard_llm,llm-lines:0281,flowers fade in dying light.,1,3,1,"This is a compact, conventionally poetic phrase that employs familiar imagery (flowers, dying light) and a deliberate sonic quality (the repeated ""f"" sounds in ""flowers fade""), all of which point to conscious literary crafting toward a melancholic, elegiac effect."
standard_llm,llm-lines:0558,raindrops kiss the silent stones.,2,4,1,"This is a straightforward line of nature poetry using personification, fitting squarely within the tradition of lyric/imagist poetry."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,2,1,2,"This very short phrase reads as a fragment of song lyrics or a colloquial aphorism, easily categorizable as a lyrical/musical snippet or idiomatic expression, though its brevity and slight ambiguity give it a minor poetic quality."
lstm_vae,lstm-vae-lines:0006,a longing of heaven,1,2,4,"This brief phrase feels like a fragment that could have emerged from translation, transcription, or casual speech rather than deliberate poetic construction — the slightly unusual preposition ""of"" instead of ""for"" gives it an unintended strangeness, as if it arrived through linguistic drift rather than careful design."
standard_llm,llm-lines:0718,static fills the empty spaces,2,3,2,"This brief phrase reads as a line of minimalist poetry or a lyrical fragment, fitting comfortably within recognized traditions of imagist or minimalist verse, though its brevity and ambiguity give it a slight openness to other interpretations (song lyric, aphorism, ambient/experimental text)."
lstm_vae,lstm-vae-lines:0429,i know you're going to die,1,2,3,"This brief, lowercase statement feels like it could be a line from a poem or a dramatic monologue deliberately crafted for its stark emotional impact and directness, but its extreme simplicity and lack of any ornamentation also give it the quality of something someone might actually say — raw and undesigned."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,2,3,2,"This very short phrase reads as a fragment that could be a song lyric, aphorism, or colloquial expression, fitting loosely into poetic/lyrical modes despite its brevity and slight enigmatic quality."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",1,2,1,"This reads as a deliberately crafted poetic fragment, with the carefully chosen juxtaposition of ""voice,"" ""echo,"" and ""static"" creating a designed sense of alienation and technological dissolution — it feels like a conscious literary gesture."
standard_llm,llm-lines:0025,a stranger's smile fades with the rain,1,2,1,"This reads as a deliberately composed poetic line, with its carefully chosen imagery linking a fleeting human moment to a natural phenomenon, the compact structure, and the melancholic tone all suggesting intentional literary craftsmanship."
lstm_vae,lstm-vae-lines:0344,i am all of hate in fear,1,2,4,"This brief phrase has an unusual grammatical structure (""all of hate in fear"") that could be a deliberate poetic compression, but it also reads like something produced by someone with limited English fluency or a generative process that stumbled into an evocative but unintended arrangement — the awkward phrasing feels more accidental than designed."
standard_llm,llm-lines:0558,raindrops kiss the silent stones.,1,2,1,"This is a carefully crafted poetic line employing personification (""kiss""), deliberate alliteration (""silent stones""), and a classic nature-poetry image, all of which point to intentional literary construction aimed at producing a gentle, evocative effect."
standard_llm,llm-lines:0692,songs buried in the sand of stars,1,2,1,"This short phrase feels deliberately crafted as a poetic image, with its layered metaphors (""buried,"" ""sand of stars"") carefully chosen to evoke a specific dreamy, cosmic aesthetic — it reads like a line intentionally composed for lyrical effect."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,1,1,1,"This reads as a deliberate literary reworking of Shakespeare's ""All the world's a stage, and all the men and women merely players,"" substituting ""effects"" for ""players"" to create a philosophical/poetic resonance about causality and insignificance — a clearly intentional craft move."
standard_llm,llm-lines:0665,silence speaks in heavy breaths.,1,3,1,"This is a compact, deliberately constructed literary phrase that employs personification and paradox (silence ""speaking"") in a way that feels intentionally crafted for poetic effect, with the oxymoronic tension and sensory imagery clearly designed to evoke a specific emotional atmosphere."
lstm_vae,lstm-vae-lines:0344,i am all of hate in fear,2,5,2,"This brief, grammatically unconventional phrase reads as a minimalist poetic utterance or fragment of lyric poetry, fitting recognizably within traditions of confessional or expressionist poetry, though its compressed and slightly disjointed syntax gives it a mildly experimental edge."
standard_llm,llm-lines:0754,the dark hums with secrets untold.,2,2,1,"This is a brief, evocative line that fits squarely within the tradition of lyrical or poetic writing, with its personification, imagery, and atmospheric mood being immediately recognizable conventions of poetry."
standard_llm,llm-lines:0758,the dawn whispers of dreams undone,1,4,1,"This phrase is clearly constructed with deliberate poetic intent — the personification of dawn, the soft sibilance of ""whispers,"" and the evocative closure of ""dreams undone"" all feel like carefully chosen literary devices aimed at producing a wistful, lyrical effect."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,2,1,2,"This very short phrase reads as a simple poetic or lyrical utterance with a slightly surreal image (""the dream in your road""), fitting comfortably within recognizable traditions of short-form poetry, aphoristic verse, or even song lyrics, though its brevity and ambiguity give it a mildly elusive quality."
standard_llm,llm-lines:0665,silence speaks in heavy breaths.,2,2,1,"This is a concise, aphoristic line that fits squarely within the tradition of lyrical/poetic writing, employing personification and paradox in a way that is immediately recognizable as poetry or a poetic fragment."
